BASLIK;MARKA;MODEL;TEMEL OZELLIKLER - Seri;TEMEL OZELLIKLER - Donanim Paketi;TEMEL OZELLIKLER - Model Yillari;TEMEL OZELLIKLER - Ait Oldugu Ulke;TEMEL OZELLIKLER - Yakit Turu;TEMEL OZELLIKLER - Arac Turu;TEMEL OZELLIKLER - Govde Tipi;TEMEL OZELLIKLER - Segment;TEMEL OZELLIKLER - Motor Tipi;TEMEL OZELLIKLER - Yakit Tipi;MOTOR (Icten Yanmali) - Besleme Tipi;MOTOR (Icten Yanmali) - Silindir Adedi;MOTOR (Icten Yanmali) - Silindir Hacmi;MOTOR (Icten Yanmali) - Yakit Puskurtme;MOTOR (Elektrikli) - Batarya Kapasitesi;MOTOR (Elektrikli) - Batarya Tipi;MOTOR (Elektrikli) - Menzil (WLTP - Birlesik);MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici);MOTOR (Elektrikli) - Motor Gucu;MOTOR (Elektrikli) - Ortalama Tuketim (Elk.);MOTOR (Elektrikli) - Sarj Suresi;EKONOMI - MTV;EKONOMI - Bakim Masrafi (Tahmini);PERFORMANS - Azami Hiz;PERFORMANS - Azami Tork;PERFORMANS - Beygir Gucu;PERFORMANS - 0 - 100 Km Hizlanma;AGIRLIK & OLCULER - Agirlik;AGIRLIK & OLCULER - Genislik;AGIRLIK & OLCULER - Uzunluk;AGIRLIK & OLCULER - Yukseklik;BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk);BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk);DIS GOVDE - Kapi Sayisi;LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Taban Genisligi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Jant Capi;SANZIMAN & CEKIS SISTEMI - Cekis;SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi;SANZIMAN & CEKIS SISTEMI - Sanziman Turu;SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi;SANZIMAN & CEKIS SISTEMI - Sanziman Modeli;YAKIT TUKETIMI & EMISYON - Emisyon Standardi;YAKIT TUKETIMI & EMISYON - Ortalama Emisyon;YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km);YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi (lt);YOLCU EMNIYETI - Hava Yastigi Adedi;YOLCU EMNIYETI - NCAP/ANCAP Adedi;GOSTERGELER & SENSORLER - Far Sensoru;GOSTERGELER & SENSORLER - Lastik Basinc Sensoru;GOSTERGELER & SENSORLER - Park Sensoru & Yardimi;GOSTERGELER & SENSORLER - Yagmur Sensoru;ISITMA & SOGUTMA - Klima;KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi;KOLTUKLAR & IC DOSEME - Koltuk Sayisi;KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari;KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari;LAMBALAR & AYDINLATMA - Far Tipi;LAMBALAR & AYDINLATMA - Sis Farlari;Performance_Score;Ic_Hacim_Score;Konfor_Score;Guvenlik_Score;Eko_Score;Maintenance_Score;GLOBAL_SCORE
Ford Mondeo 4K 2.0 TDCi 180 PS Otomatik Titanium;Ford;Mondeo 4K;Mondeo;Titanium;2016, 2017, 2018;Amerika;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1997;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;11.674;nan;218;400;180;8.7;1587;1852;4871;1482;429;525;5;235/50 R17;235;50%;17;Onden Cekisli;Var;Otomatik;6 ileri;PowerShift (YO);EURO 6;125;5.01;4.40;5.30;62;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;150;5378;1676;535;65;62;1247
Ford Mondeo 4K 2.0 TDCi 180 PS Otomatik Style;Ford;Mondeo 4K;Mondeo;Style;2016, 2017, 2018;Amerika;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1997;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;11.674;nan;223;400;180;8.6;1587;1852;4871;1482;429;525;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Otomatik;6 ileri;PowerShift (YO);EURO 6;125;5.01;4.40;5.30;62;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;153;5378;1674;535;65;62;1247
Ford Mondeo 2.0 TDCI 180 PS PowerShift Style;Ford;Mondeo;Mondeo;Style;2015;Amerika;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1997;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;10.613;nan;223;400;180;8.6;1587;1852;4871;1482;429;525;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Otomatik;6 ileri;PowerShift (YO);EURO 5;125;5.01;4.40;5.30;62.5;7;5;Var;Yok;Yok;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;153;5378;1674;535;65;62;1247
Ford Mondeo 2.0 TDCI 180 PS PowerShift Titanium;Ford;Mondeo;Mondeo;Titanium;2015;Amerika;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1997;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;10.613;nan;223;400;180;8.6;1587;1852;4871;1482;429;525;5;235/50 R17;235;50%;17;Onden Cekisli;Var;Otomatik;6 ileri;PowerShift (YO);EURO 5;125;5.01;4.40;5.30;62.5;7;5;Var;Yok;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;153;5378;1676;535;65;62;1247
Suzuki Swift 1.2 94 HP Otomatik GL;Suzuki;Swift;Swift;GL;2015, 2016;Japonya;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;4;1242;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;1.882;nan;160;118;95;13.5;1065;1695;3850;1510;211;528;5;185/55 R16;185;55%;16;Onden Cekisli;Var;Otomatik;4 ileri;Tork Konvertörlü;EURO 6;128;6.05;4.90;6.80;42;7;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Yok;42;3972;1236;428;72;89;918
Suzuki Swift 1.2 GL 94 HP Otomatik;Suzuki;Swift;Swift;Standart;2014;Japonya;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;4;1242;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;1.882;nan;160;118;95;13.5;1085;1695;3850;1510;211;528;5;185/60 R15;185;60%;15;Onden Cekisli;Yok;Otomatik;4 ileri;Tork Konvertörlü;EURO 5;128;6.05;4.90;6.80;42;7;5;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Yok;41;3972;1237;428;72;89;917
Suzuki Swift 1.2 94 HP GL;Suzuki;Swift;Swift;GL;2015, 2016;Japonya;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;4;1242;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;1.882;nan;165;118;95;12.3;1035;1695;3850;1510;211;528;5;185/55 R16;185;55%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;116;5.43;4.40;6.10;42;7;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Yok;52;3972;1236;428;74;89;921
Suzuki Swift 1.2 GL MT 94 HP;Suzuki;Swift;Swift;Standart;2014;Japonya;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;4;1242;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;1.882;nan;165;118;95;12.3;1065;1695;3850;1510;211;528;5;185/60 R15;185;60%;15;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;116;5.43;4.40;6.10;42;7;5;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Yok;52;3972;1237;428;74;89;921
Mercedes S 350 BlueTEC 3.0 258 BG 4MATIC 7G-Ttronic (4x4);Mercedes-Benz;S 350 Bluetec;S;Standart;2015;Almanya;Fosil Yakıt;Binek;Sedan;F;Icten Yanmali (Standart);Dizel;Turbo;6;2987;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;26.654;nan;250;620;258;6.8;1955;1899;5116;1496;510;530;5;245/55 R17;245;55%;17;4x4 Cekisli;Var;Otomatik;7 ileri;7G-Tronic;EURO 5;175;7.19;5.90;8.00;78;8;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;219;5844;1831;577;50;34;1362
BMW 520d xDrive 2.0 190 BG Otomatik Luxury Line (4x4);BMW;520D;5 Serisi;Luxury Line;2023;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;4;1995;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;25.792;nan;232;400;190;7.3;1735;1868;4963;1457;530;Koltuklar Katlanmıyor;5;245/45 R18;245;45%;18;4x4 Cekisli;Var;Otomatik;8 ileri;ZF8;EURO 6.2;144;5.01;4.40;5.30;66;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;166;5433;1708;530;62;60;1261
BMW 520d xDrive 2.0 190 BG Otomatik M Sport (4x4);BMW;520D;5 Serisi;M Sport;2023;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;4;1995;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;25.792;nan;232;400;190;7.3;1735;1868;4963;1457;530;Koltuklar Katlanmıyor;5;Ön: 245/40 R19. Arka: 275/35 R19;275;40%;19;4x4 Cekisli;Var;Otomatik;8 ileri;ZF8;EURO 6.2;144;5.01;4.40;5.30;66;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;166;5433;1711;530;62;60;1261
BMW 520d xDrive 2.0 190 BG Otomatik S.Ed.Luxury Line (4x4);BMW;520D;5 Serisi;Special Edition Luxury Line;2020, 2021, 2022;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;4;1995;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;25.792;nan;232;400;190;7.3;1735;1868;4963;1457;530;Koltuklar Katlanmıyor;3;245/45 R18;245;45%;18;4x4 Cekisli;Var;Otomatik;8 ileri;ZF8;EURO 6.2;144;5.01;4.40;5.30;66;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;166;5433;1708;530;62;60;1261
BMW 520d 2.0 190 BG xDrive Steptronic (4x4);BMW;520D;5 Serisi;Luxury Line;2017, 2018;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;4;1995;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;11.674;nan;232;400;190;7.6;1695;1868;4936;1466;530;Koltuklar Katlanmıyor;5;225/55 R17;225;55%;17;4x4 Cekisli;Var;Otomatik;8 ileri;Steptronic;EURO 6;136;5.37;4.90;5.50;66;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;165;5437;1707;531;63;60;1261
BMW 520d 2.0 190 BG Steptronic;BMW;520D;5 Serisi;Luxury Line;2017, 2018;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;4;1995;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;11.674;nan;238;400;190;7.5;1615;1868;4936;1466;530;Koltuklar Katlanmıyor;5;225/55 R17;225;55%;17;Arkadan Itisli;Var;Otomatik;8 ileri;Steptronic;EURO 6;124;4.96;4.30;5.30;66;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;171;5437;1707;532;64;60;1264
Renault Fluence 1.5 dCi 90 HP Touch;Renault;Fluence;Fluence;Touch;2014, 2016;Fransa;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1461;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;175;200;90;13.0;1280;1809;4622;1479;530;Koltuklar Katlanmıyor;5;205/65 R16;205;65%;16;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;118;4.86;4.00;5.40;60;4;4;Yok;Yok;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;58;4976;1540;470;74;89;1132
Renault Fluence 1.5 dCi 110 BG Icon;Renault;Fluence;Fluence;Icon;2015;Fransa;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1461;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;185;240;110;11.0;1360;1809;4622;1479;530;Koltuklar Katlanmıyor;5;205/65 R16;205;65%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;120;4.97;4.00;5.60;60;6;4;Var;Yok;Var;Var;Otomatik Klima;Kumas & Deri;5;Manuel;Manuel;Halojen;Var;84;4976;1566;485;73;84;1142
Renault Fluence 1.5 dCi 110 HP EDC Touch;Renault;Fluence;Fluence;Touch;2014, 2016;Fransa;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1461;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;190;240;110;11.9;1389;1809;4622;1479;530;Koltuklar Katlanmıyor;5;205/65 R16;205;65%;16;Onden Cekisli;Var;Otomatik;6 ileri;EDC (Cift Kavramali Otm.);EURO 6;114;4.32;4.40;4.00;60;4;5;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;81;4976;1540;481;74;84;1140
Renault Fluence 1.5 dCi 110 HP EDC Icon;Renault;Fluence;Fluence;Icon;2014, 2016;Fransa;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1461;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;190;240;110;11.9;1389;1809;4622;1479;530;Koltuklar Katlanmıyor;5;205/55/R17;205;55%;17;Onden Cekisli;Var;Otomatik;6 ileri;EDC (Cift Kavramali Otm.);EURO 6;114;4.76;4.00;5.20;60;6;4;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Manuel;Manuel;Halojen;Var;81;4976;1566;485;73;84;1141
Renault Fluence 1.5 dCi 110 BG EDC Icon;Renault;Fluence;Fluence;Icon;2015;Fransa;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Dizel;Turbo;4;1461;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;190;240;110;11.9;1389;1809;4622;1479;530;Koltuklar Katlanmıyor;5;205/65 R16;205;65%;16;Onden Cekisli;Var;Otomatik;6 ileri;EDC (Yarı );EURO 5;114;4.76;4.00;5.20;60;6;4;Var;Yok;Var;Var;Otomatik Klima;Kumas & Deri;5;Manuel;Manuel;Halojen;Var;81;4976;1566;485;73;84;1141
BMW 530i xDrive 2.0 252 BG Otomatik Luxury Line (4x4);BMW;530I;5 Serisi;Luxury Line;2023;Almanya;Fosil Yakıt;Binek;Sedan;E;MHEV (Yari Hibrit Sistem);Benzin & Elektrik;Turbo;4;1999;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;25.792;nan;250;350;252;6.3;1680;1868;4963;1457;530;Koltuklar Katlanmıyor;5;245/45 R18;245;45%;18;4x4 Cekisli;Var;Otomatik;8 ileri;ZF8;EURO 6.2;166;7.09;5.80;7.90;68;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;194;5433;1708;531;53;43;1265
BMW 530i xDrive 2.0 252 BG Otomatik M Sport (4x4);BMW;530I;5 Serisi;M Sport;2023;Almanya;Fosil Yakıt;Binek;Sedan;E;MHEV (Yari Hibrit Sistem);Benzin & Elektrik;Turbo;4;1999;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;25.792;nan;250;350;252;6.3;1680;1868;4963;1457;530;Koltuklar Katlanmıyor;5;Ön: 245/40 R19. Arka: 275/35 R19;275;40%;19;4x4 Cekisli;Var;Otomatik;8 ileri;ZF8;EURO 6.2;166;7.09;5.80;7.90;68;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;194;5433;1711;531;53;43;1265
BMW 530i xDrive 2.0 252 BG Otomatik S.Ed.Luxury Line (4x4);BMW;530I;5 Serisi;Special Edition Luxury Line;2020, 2021, 2022;Almanya;Fosil Yakıt;Binek;Sedan;E;MHEV (Yari Hibrit Sistem);Benzin & Elektrik;Turbo;4;1999;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;25.792;nan;250;350;252;6.3;1680;1868;4963;1457;530;Koltuklar Katlanmıyor;5;245/45 R18;245;45%;18;4x4 Cekisli;Var;Otomatik;8 ileri;ZF8;EURO 6.2;166;7.09;5.80;7.90;68;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;194;5433;1708;531;53;43;1265
BMW 520i 1.6 170 BG Otomatik Luxury Line;BMW;520I;5 Serisi;Luxury Line;2020, 2021, 2022, 2023;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1597;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;226;250;170;8.3;1580;1868;4963;1457;530;Koltuklar Katlanmıyor;5;245/45 R18;245;45%;18;Arkadan Itisli;Var;Otomatik;8 ileri;ZF8;EURO 6.2;162;7.14;5.80;8.00;68;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;137;5433;1708;532;63;67;1254
BMW 520i 1.6 170 BG Otomatik M Sport;BMW;520I;5 Serisi;M Sport;2023;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1597;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;226;250;170;8.3;1580;1868;4963;1457;530;Koltuklar Katlanmıyor;5;Ön: 245/40 R19. Arka: 275/35 R19;275;40%;19;Arkadan Itisli;Var;Otomatik;8 ileri;ZF8;EURO 6.2;162;7.14;5.80;8.00;68;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;137;5433;1711;532;63;67;1254
BMW 520i 1.6 170 BG Steptronic;BMW;520I;5 Serisi;Luxury Line;2018;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Cift Turbo;4;1597;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;226;250;170;8.3;1605;1868;4936;1466;530;Koltuklar Katlanmıyor;5;225/55 R17;225;55%;17;Arkadan Itisli;Var;Otomatik;8 ileri;Steptronic;EURO 6;149;6.98;5.90;7.60;68;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;136;5437;1707;532;64;67;1254
BMW 520i 1.6 170 BG Steptronic Luxury Line;BMW;520I;5 Serisi;Luxury Line;2019, 2020;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Cift Turbo;4;1998;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;19.862;nan;235;290;170;7.8;1530;1868;4936;1479;530;Koltuklar Katlanmıyor;5;245/45 R18;245;45%;18;Arkadan Itisli;Var;Otomatik;8 ileri;Steptronic;EURO 6.2;134;6.37;5.10;7.20;68;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;151;5485;1723;536;62;65;1269
BMW 520i 1.6 170 BG Steptronic M Sport;BMW;520I;5 Serisi;M Sport;2020;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Cift Turbo;4;1998;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;19.862;nan;235;290;170;7.8;1530;1868;4936;1479;530;Koltuklar Katlanmıyor;5;Ön: 245/40 R19. Arka: 275/35 R19;275;40%;19;Arkadan Itisli;Var;Otomatik;8 ileri;Steptronic;EURO 6.2;134;6.37;5.10;7.20;68;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;151;5485;1727;536;62;65;1269
BMW 530i 2.0 252 BG Steptronic;BMW;530I;5 Serisi;Luxury Line;2017, 2018;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Cift Turbo;4;1998;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;11.674;nan;250;350;252;6.2;1615;1868;4936;1466;530;Koltuklar Katlanmıyor;5;225/55 R17;225;55%;17;Arkadan Itisli;Var;Otomatik;8 ileri;Steptronic;EURO 6;141;6.73;5.50;7.50;68;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;196;5437;1707;532;56;43;1267
BMW 530i 2.0 252 BG xDrive Steptronic (4x4);BMW;530I;5 Serisi;Luxury Line;2017, 2018;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Cift Turbo;4;1998;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;11.674;nan;250;350;252;6.0;1670;1868;4936;1466;530;Koltuklar Katlanmıyor;5;225/55 R17;225;55%;17;4x4 Cekisli;Var;Otomatik;8 ileri;Steptronic;EURO 6;153;7.24;6.00;8.00;68;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;196;5437;1707;531;55;43;1267
BMW 540i 3.0 340 BG xDrive Steptronic (4x4);BMW;540I;5 Serisi;M Sport;2018;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2998;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;29.322;nan;250;450;340;4.8;1735;1868;4936;1466;530;Koltuklar Katlanmıyor;5;225/55 R17;225;55%;17;4x4 Cekisli;Var;Otomatik;8 ileri;Steptronic;EURO 6;174;8.34;6.40;9.70;68;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;236;5437;1707;531;41;12;1271
Renault Fluence 1.6 16V 110 HP Touch;Renault;Fluence;Fluence;Touch;2014;Fransa;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Benzin;Atmosferik;4;1598;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;185;151;110;11.5;1280;1809;4622;1479;530;Koltuklar Katlanmıyor;5;205/65 R16;205;65%;16;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;155;7.47;5.50;8.90;60;4;4;Yok;Yok;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;72;4976;1540;470;68;83;1134
Renault Fluence 1.6 16V CVT 115 HP Touch;Renault;Fluence;Fluence;Touch;2014;Fransa;Fosil Yakıt;Binek;Sedan;C;Icten Yanmali (Standart);Benzin;Atmosferik;4;1598;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;190;156;115;11.9;1263;1809;4622;1479;530;Koltuklar Katlanmıyor;5;205/65 R16;205;65%;16;Onden Cekisli;Yok;Otomatik;Kademesiz;CVT;EURO 5;149;7.11;5.10;8.60;60;4;4;Yok;Yok;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;75;4976;1540;470;68;82;1135
Volkswagen CC 2.0 TDI BMT 140 PS DSG;Volkswagen;Cc;CC;Standart;2015;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1968;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;10.613;nan;212;320;140;9.8;1564;1855;4802;1421;532;Koltuklar Katlanmıyor;5;235/45 R17;235;45%;17;Onden Cekisli;Var;Otomatik;6 ileri;DSG (YO);EURO 5;131;5.33;4.40;5.90;70;6;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;Halojen;Var;121;5093;1591;505;68;73;1177
Volkswagen CC 2.0 TDI BMT 150 PS DSG Sportline;Volkswagen;Cc;CC;Sportline;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1968;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;10.613;nan;218;340;150;9.1;1596;1855;4802;1421;532;Koltuklar Katlanmıyor;5;235/45 R17;235;45%;17;Onden Cekisli;Var;Otomatik;6 ileri;DSG (YO);EURO 6;127;5.17;4.30;5.70;70;6;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;133;5093;1591;504;67;71;1180
Volkswagen CC 2.0 TDI BMT 177 PS DSG;Volkswagen;Cc;CC;Standart;2015;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1968;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;10.613;nan;220;380;177;8.4;1582;1855;4802;1421;532;Koltuklar Katlanmıyor;5;235/45 R17;235;45%;17;Onden Cekisli;Var;Otomatik;6 ileri;DSG (YO);EURO 5;133;5.48;4.50;6.10;70;6;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;Halojen;Var;150;5093;1591;505;64;63;1184
Volkswagen CC 2.0 TDI BMT 184 PS DSG Sportline;Volkswagen;Cc;CC;Sportline;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1968;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;10.613;nan;232;380;184;8.1;1607;1855;4802;1421;532;Koltuklar Katlanmıyor;5;235/45 R17;235;45%;17;Onden Cekisli;Var;Otomatik;6 ileri;DSG (YO);EURO 6;130;5.38;4.50;5.90;70;6;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;160;5093;1591;504;64;62;1186
Volkswagen CC 2.0 TDI BMT 184 PS DSG Exclusive;Volkswagen;Cc;CC;Exclusive;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;D;Icten Yanmali (Standart);Dizel;Turbo;4;1968;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;10.613;nan;232;380;184;8.1;1607;1855;4802;1421;532;Koltuklar Katlanmıyor;5;235/40 R18;235;40%;18;Onden Cekisli;Var;Otomatik;6 ileri;DSG (YO);EURO 6;130;5.38;4.50;5.90;70;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Manuel;Manuel;LED;Var;160;5093;1604;504;64;62;1186
